timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1541453941903,841,Login-Open,200,OK,Thread Group-Testes 1-1,text,true,,6080,137,1,1,841,0,82
1541453942835,33,Login-Open,200,OK,Thread Group-Testes 1-2,text,true,,6080,137,2,2,33,0,2
1541453942872,481,Login-Submit,302,Found,Thread Group-Testes 1-2,text,true,,631,457,2,2,481,0,0
1541453943835,34,Login-Open,200,OK,Thread Group-Testes 1-3,text,true,,6080,137,3,3,34,0,1
1541453944835,36,Login-Open,200,OK,Thread Group-Testes 1-4,text,true,,6080,137,4,4,36,0,2
1541453944875,461,Login-Submit,302,Found,Thread Group-Testes 1-4,text,true,,631,457,4,4,461,0,0
1541453943357,2121,Visualizar-Historico,200,OK,Thread Group-Testes 1-2,text,true,,84923,282,4,4,2120,0,0
1541453943872,1721,Login-Submit,302,Found,Thread Group-Testes 1-3,text,true,,631,457,4,4,1721,0,0
1541453945836,657,Login-Open,200,OK,Thread Group-Testes 1-5,text,true,,6080,137,5,5,656,0,1
1541453946837,35,Login-Open,200,OK,Thread Group-Testes 1-6,text,true,,6080,137,6,6,35,0,1
1541453945339,1690,Visualizar-Historico,200,OK,Thread Group-Testes 1-4,text,true,,77127,282,6,6,1690,0,0
1541453945480,1798,Visualizar-Historico,200,OK,Thread Group-Testes 1-2,text,true,,84923,282,6,6,1797,0,1
1541453946876,448,Login-Submit,302,Found,Thread Group-Testes 1-6,text,true,,631,457,6,6,448,0,0
1541453945598,2038,Visualizar-Historico,200,OK,Thread Group-Testes 1-3,text,true,,71126,282,6,6,2038,0,0
1541453947837,40,Login-Open,200,OK,Thread Group-Testes 1-7,text,true,,6080,137,7,7,40,0,1
1541453946496,2080,Login-Submit,302,Found,Thread Group-Testes 1-5,text,true,,631,457,7,7,2080,0,0
1541453947032,1664,Visualizar-Historico,200,OK,Thread Group-Testes 1-4,text,true,,77127,282,7,7,1663,0,0
1541453948835,37,Login-Open,200,OK,Thread Group-Testes 1-8,text,true,,6080,137,8,8,37,0,1
1541453947280,1867,Visualizar-Historico,200,OK,Thread Group-Testes 1-2,text,true,,84923,282,8,8,1866,0,0
1541453948875,445,Login-Submit,302,Found,Thread Group-Testes 1-8,text,true,,631,457,8,8,445,0,0
1541453947327,2373,Visualizar-Historico,200,OK,Thread Group-Testes 1-6,text,true,,107578,282,8,8,2372,0,0
1541453942756,7132,Login-Submit,302,Found,Thread Group-Testes 1-1,text,true,,631,457,9,9,7132,0,0
1541453947881,2078,Login-Submit,302,Found,Thread Group-Testes 1-7,text,true,,631,457,9,9,2078,0,0
1541453947638,2692,Visualizar-Historico,200,OK,Thread Group-Testes 1-3,text,true,,71126,282,9,9,2692,0,1
1541453948579,1809,Visualizar-Historico,200,OK,Thread Group-Testes 1-5,text,true,,71318,282,9,9,1808,0,1
