timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1539390354497,92,Login-Open,200,OK,Thread Group-Testes 1-1,text,true,,6080,137,1,1,92,0,44
1539390355428,35,Login-Open,200,OK,Thread Group-Testes 1-2,text,true,,6080,137,2,2,35,0,1
1539390356434,37,Login-Open,200,OK,Thread Group-Testes 1-3,text,true,,6080,137,3,3,37,0,1
1539390355467,1336,Login-Submit,302,Found,Thread Group-Testes 1-2,text,true,,624,450,3,3,1336,0,0
1539390356475,726,Login-Submit,302,Found,Thread Group-Testes 1-3,text,true,,624,450,3,3,726,0,0
1539390357427,28,Login-Open,200,OK,Thread Group-Testes 1-4,text,true,,6080,137,4,4,28,0,2
1539390356807,1237,Visualizar-Alunos,200,OK,Thread Group-Testes 1-2,text,true,,83547,259,4,4,1236,0,0
1539390357204,1237,Visualizar-Alunos,200,OK,Thread Group-Testes 1-3,text,true,,86797,259,5,5,1237,0,0
1539390358427,45,Login-Open,200,OK,Thread Group-Testes 1-5,text,true,,6080,137,5,5,45,0,1
1539390357459,1333,Login-Submit,302,Found,Thread Group-Testes 1-4,text,true,,624,450,5,5,1333,0,0
1539390358047,1270,Visualizar-Alunos,200,OK,Thread Group-Testes 1-2,text,true,,83547,259,5,5,1269,0,1
1539390359428,34,Login-Open,200,OK,Thread Group-Testes 1-6,text,true,,6080,137,6,6,34,0,1
1539390358445,1190,Visualizar-Alunos,200,OK,Thread Group-Testes 1-3,text,true,,86797,259,6,6,1190,0,2
1539390358476,1349,Login-Submit,302,Found,Thread Group-Testes 1-5,text,true,,624,450,6,6,1349,0,0
1539390358795,1235,Visualizar-Alunos,200,OK,Thread Group-Testes 1-4,text,true,,84241,259,6,6,1234,0,0
1539390354602,5694,Login-Submit,302,Found,Thread Group-Testes 1-1,text,true,,624,450,6,6,5693,0,0
1539390360299,2,Visualizar-Alunos,502,Bad Gateway,Thread Group-Testes 1-1,text,false,,330,259,6,6,2,0,1
1539390360428,23,Login-Open,200,OK,Thread Group-Testes 1-7,text,true,,6080,137,7,7,23,0,1
1539390359320,1234,Visualizar-Alunos,200,OK,Thread Group-Testes 1-2,text,true,,83547,259,7,7,1234,0,0
1539390359466,1328,Login-Submit,302,Found,Thread Group-Testes 1-6,text,true,,624,450,7,7,1328,0,0
1539390359638,1192,Visualizar-Alunos,200,OK,Thread Group-Testes 1-3,text,true,,86797,259,7,7,1191,0,0
1539390359828,1287,Visualizar-Alunos,200,OK,Thread Group-Testes 1-5,text,true,,87762,259,7,7,1287,0,0
1539390360454,719,Login-Submit,302,Found,Thread Group-Testes 1-7,text,true,,623,449,7,7,719,0,0
1539390360037,1140,Visualizar-Alunos,200,OK,Thread Group-Testes 1-4,text,true,,84241,259,7,7,1140,0,1
1539390361427,29,Login-Open,200,OK,Thread Group-Testes 1-8,text,true,,6080,137,8,8,29,0,1
1539390360557,1186,Visualizar-Alunos,200,OK,Thread Group-Testes 1-2,text,true,,83547,259,8,8,1185,0,1
1539390360302,1452,Visualizar-Alunos,200,OK,Thread Group-Testes 1-1,text,true,,103223,259,8,8,1452,0,0
1539390360832,1177,Visualizar-Alunos,200,OK,Thread Group-Testes 1-3,text,true,,86797,259,8,8,1176,0,1
1539390360796,1275,Visualizar-Alunos,200,OK,Thread Group-Testes 1-6,text,true,,87032,259,8,8,1275,0,0
1539390361117,1207,Visualizar-Alunos,200,OK,Thread Group-Testes 1-5,text,true,,87762,259,8,8,1207,0,1
1539390361180,1206,Visualizar-Alunos,200,OK,Thread Group-Testes 1-4,text,true,,84241,259,8,8,1205,0,0
1539390361176,1240,Visualizar-Alunos,200,OK,Thread Group-Testes 1-7,text,true,,84535,259,8,8,1240,0,0
1539390362426,35,Login-Open,200,OK,Thread Group-Testes 1-9,text,true,,6080,137,9,9,35,0,1
1539390361459,1325,Login-Submit,302,Found,Thread Group-Testes 1-8,text,true,,623,449,9,9,1325,0,0
1539390361757,1260,Visualizar-Alunos,200,OK,Thread Group-Testes 1-1,text,true,,103223,259,9,9,1259,0,0
1539390361745,1495,Visualizar-Alunos,200,OK,Thread Group-Testes 1-2,text,true,,83547,259,9,9,1494,0,0
1539390362012,1248,Visualizar-Alunos,200,OK,Thread Group-Testes 1-3,text,true,,86797,259,9,9,1248,0,0
1539390362073,1232,Visualizar-Alunos,200,OK,Thread Group-Testes 1-6,text,true,,87032,259,9,9,1232,0,1
1539390363429,20,Login-Open,200,OK,Thread Group-Testes 1-10,text,true,,6080,137,10,10,20,0,1
1539390362326,1250,Visualizar-Alunos,200,OK,Thread Group-Testes 1-5,text,true,,87762,259,10,10,1249,0,0
1539390362388,1226,Visualizar-Alunos,200,OK,Thread Group-Testes 1-4,text,true,,84241,259,10,10,1226,0,1
1539390362419,1201,Visualizar-Alunos,200,OK,Thread Group-Testes 1-7,text,true,,84535,259,10,10,1200,0,0
1539390362464,1313,Login-Submit,302,Found,Thread Group-Testes 1-9,text,true,,624,450,10,10,1313,0,0
1539390362786,1210,Visualizar-Alunos,200,OK,Thread Group-Testes 1-8,text,true,,85820,259,10,10,1210,0,0
1539390363451,595,Login-Submit,302,Found,Thread Group-Testes 1-10,text,true,,624,450,10,10,595,0,0
1539390363019,1245,Visualizar-Alunos,200,OK,Thread Group-Testes 1-1,text,true,,103223,259,10,10,1244,0,1
1539390364426,21,Login-Open,200,OK,Thread Group-Testes 1-11,text,true,,6080,137,11,11,20,0,1
1539390363241,1219,Visualizar-Alunos,200,OK,Thread Group-Testes 1-2,text,true,,83547,259,11,11,1219,0,0
1539390363262,1237,Visualizar-Alunos,200,OK,Thread Group-Testes 1-3,text,true,,86797,259,11,11,1236,0,1
1539390363308,1216,Visualizar-Alunos,200,OK,Thread Group-Testes 1-6,text,true,,87032,259,11,11,1215,0,0
1539390363578,1177,Visualizar-Alunos,200,OK,Thread Group-Testes 1-5,text,true,,87762,259,11,11,1176,0,1
1539390363616,1188,Visualizar-Alunos,200,OK,Thread Group-Testes 1-4,text,true,,84241,259,11,11,1187,0,0
1539390363622,1195,Visualizar-Alunos,200,OK,Thread Group-Testes 1-7,text,true,,84535,259,11,11,1194,0,1
1539390363779,1309,Visualizar-Alunos,200,OK,Thread Group-Testes 1-9,text,true,,85345,259,11,11,1308,0,0
1539390363997,1200,Visualizar-Alunos,200,OK,Thread Group-Testes 1-8,text,true,,85820,259,11,11,1199,0,1
1539390364449,810,Login-Submit,302,Found,Thread Group-Testes 1-11,text,true,,624,450,11,11,810,0,0
1539390364047,1322,Visualizar-Alunos,200,OK,Thread Group-Testes 1-10,text,true,,88353,259,11,11,1322,0,0
1539390365427,3,Login-Open,502,Bad Gateway,Thread Group-Testes 1-12,text,false,,330,137,12,12,3,0,1
1539390365431,30,Login-Submit,403,Forbidden,Thread Group-Testes 1-12,text,false,"Test failed: code expected to equal /

****** received  : [[[403]]]

****** comparison: [[[302]]]

/",3123,276,12,12,30,0,0
1539390364265,1222,Visualizar-Alunos,200,OK,Thread Group-Testes 1-1,text,true,,103223,259,12,12,1221,0,0
1539390365462,34,Login-Open,200,OK,Thread Group-Testes 1-12,text,true,,6080,137,12,12,34,0,0
1539390364462,1190,Visualizar-Alunos,200,OK,Thread Group-Testes 1-2,text,true,,83547,259,12,12,1190,0,0
1539390364499,1223,Visualizar-Alunos,200,OK,Thread Group-Testes 1-3,text,true,,86797,259,12,12,1223,0,0
1539390364525,1228,Visualizar-Alunos,200,OK,Thread Group-Testes 1-6,text,true,,87032,259,12,12,1227,0,1
1539390364757,1219,Visualizar-Alunos,200,OK,Thread Group-Testes 1-5,text,true,,87762,259,12,12,1219,0,0
1539390364805,1180,Visualizar-Alunos,200,OK,Thread Group-Testes 1-4,text,true,,84241,259,12,12,1179,0,1
1539390364819,1222,Visualizar-Alunos,200,OK,Thread Group-Testes 1-7,text,true,,84535,259,12,12,1222,0,0
1539390365498,643,Login-Submit,302,Found,Thread Group-Testes 1-12,text,true,,624,450,12,12,643,0,0
1539390365090,1223,Visualizar-Alunos,200,OK,Thread Group-Testes 1-9,text,true,,85345,259,12,12,1222,0,1
