timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1539474899815,91,Login-Open,200,OK,Thread Group-Testes 1-1,text,true,,6080,137,1,1,91,0,46
1539474900741,38,Login-Open,200,OK,Thread Group-Testes 1-2,text,true,,6080,137,2,2,37,0,2
1539474901736,35,Login-Open,200,OK,Thread Group-Testes 1-3,text,true,,6080,137,3,3,35,0,1
1539474900785,1359,Login-Submit,302,Found,Thread Group-Testes 1-2,text,true,,624,450,3,3,1359,0,0
1539474901775,601,Login-Submit,302,Found,Thread Group-Testes 1-3,text,true,,624,450,3,3,601,0,0
1539474902722,35,Login-Open,200,OK,Thread Group-Testes 1-4,text,true,,6080,137,4,4,35,0,1
1539474902760,610,Login-Submit,302,Found,Thread Group-Testes 1-4,text,true,,624,450,4,4,610,0,0
1539474903739,27,Login-Open,200,OK,Thread Group-Testes 1-5,text,true,,6080,137,5,5,27,0,1
1539474903771,601,Login-Submit,302,Found,Thread Group-Testes 1-5,text,true,,624,450,5,5,601,0,0
1539474904735,33,Login-Open,200,OK,Thread Group-Testes 1-6,text,true,,6080,137,6,6,33,0,1
1539474902148,3037,Visualizar-Processos,200,OK,Thread Group-Testes 1-2,text,true,,414993,295,6,6,3035,0,0
1539474902379,3095,Visualizar-Processos,200,OK,Thread Group-Testes 1-3,text,true,,418243,295,6,6,3093,0,0
1539474899919,5704,Login-Submit,302,Found,Thread Group-Testes 1-1,text,true,,624,450,6,6,5704,0,0
1539474905739,42,Login-Open,200,OK,Thread Group-Testes 1-7,text,true,,6080,137,7,7,42,0,2
1539474904772,1345,Login-Submit,302,Found,Thread Group-Testes 1-6,text,true,,624,450,7,7,1345,0,0
1539474903373,3002,Visualizar-Processos,200,OK,Thread Group-Testes 1-4,text,true,,415687,295,7,7,3000,0,0
1539474905785,593,Login-Submit,302,Found,Thread Group-Testes 1-7,text,true,,623,449,7,7,593,0,0
1539474906736,29,Login-Open,200,OK,Thread Group-Testes 1-8,text,true,,6080,137,8,8,29,0,1
1539474906769,588,Login-Submit,302,Found,Thread Group-Testes 1-8,text,true,,623,449,8,8,588,0,0
1539474904374,3093,Visualizar-Processos,200,OK,Thread Group-Testes 1-5,text,true,,419208,295,8,8,3090,0,0
1539474907733,3,Login-Open,502,Bad Gateway,Thread Group-Testes 1-9,text,false,,330,137,9,9,3,0,1
1539474907737,26,Login-Submit,403,Forbidden,Thread Group-Testes 1-9,text,false,"Test failed: code expected to equal /

****** received  : [[[403]]]

****** comparison: [[[302]]]

/",3123,276,9,9,26,0,0
1539474907765,31,Login-Open,200,OK,Thread Group-Testes 1-9,text,true,,6080,137,9,9,31,0,0
1539474905188,3029,Visualizar-Processos,200,OK,Thread Group-Testes 1-2,text,true,,414993,295,9,9,3026,0,1
1539474907799,628,Login-Submit,302,Found,Thread Group-Testes 1-9,text,true,,624,450,9,9,628,0,0
1539474905477,3068,Visualizar-Processos,200,OK,Thread Group-Testes 1-3,text,true,,418243,295,9,9,3066,0,0
1539474908736,28,Login-Open,200,OK,Thread Group-Testes 1-10,text,true,,6080,137,10,10,28,0,2
1539474908767,613,Login-Submit,302,Found,Thread Group-Testes 1-10,text,true,,624,450,10,10,613,0,0
1539474905626,3823,Visualizar-Processos,200,OK,Thread Group-Testes 1-1,text,true,,435013,295,10,10,3821,0,1
1539474906379,3188,Visualizar-Processos,200,OK,Thread Group-Testes 1-4,text,true,,415687,295,10,10,3185,0,0
1539474906380,3241,Visualizar-Processos,200,OK,Thread Group-Testes 1-7,text,true,,415981,295,10,10,3210,0,0
1539474909734,30,Login-Open,200,OK,Thread Group-Testes 1-11,text,true,,6080,137,11,11,30,0,1
1539474906119,3726,Visualizar-Processos,200,OK,Thread Group-Testes 1-6,text,true,,418822,295,11,11,3723,0,0
1539474909767,619,Login-Submit,302,Found,Thread Group-Testes 1-11,text,true,,624,450,11,11,619,0,0
1539474907360,3377,Visualizar-Processos,200,OK,Thread Group-Testes 1-8,text,true,,417266,295,11,11,3375,0,0
1539474907470,3283,Visualizar-Processos,200,OK,Thread Group-Testes 1-5,text,true,,419208,295,12,12,3281,0,0
1539474910741,35,Login-Open,200,OK,Thread Group-Testes 1-12,text,true,,6080,137,12,12,35,0,0
1539474910779,649,Login-Submit,302,Found,Thread Group-Testes 1-12,text,true,,624,450,12,12,649,0,0
1539474908219,3293,Visualizar-Processos,200,OK,Thread Group-Testes 1-2,text,true,,414993,295,12,12,3290,0,0
1539474911735,38,Login-Open,200,OK,Thread Group-Testes 1-13,text,true,,6080,137,13,13,38,0,1
1539474908430,3353,Visualizar-Processos,200,OK,Thread Group-Testes 1-9,text,true,,419800,295,13,13,3351,0,0
1539474908547,3298,Visualizar-Processos,200,OK,Thread Group-Testes 1-3,text,true,,418243,295,13,13,3296,0,1
1539474911775,621,Login-Submit,302,Found,Thread Group-Testes 1-13,text,true,,624,450,13,13,621,0,0
1539474912738,22,Login-Open,200,OK,Thread Group-Testes 1-14,text,true,,6080,137,14,14,22,0,1
1539474909382,3423,Visualizar-Processos,200,OK,Thread Group-Testes 1-10,text,true,,417121,295,14,14,3420,0,0
1539474909623,3265,Visualizar-Processos,200,OK,Thread Group-Testes 1-7,text,true,,415981,295,14,14,3262,0,2
1539474909568,3357,Visualizar-Processos,200,OK,Thread Group-Testes 1-4,text,true,,415687,295,14,14,3354,0,1
1539474909451,3854,Visualizar-Processos,200,OK,Thread Group-Testes 1-1,text,true,,435013,295,14,14,3852,0,1
1539474909846,3858,Visualizar-Processos,200,OK,Thread Group-Testes 1-6,text,true,,418822,295,14,14,3855,0,1
1539474913735,37,Login-Open,200,OK,Thread Group-Testes 1-15,text,true,,6080,137,15,15,37,0,16
1539474910388,3407,Visualizar-Processos,200,OK,Thread Group-Testes 1-11,text,true,,415691,295,15,15,3404,0,0
1539474912762,1351,Login-Submit,302,Found,Thread Group-Testes 1-14,text,true,,624,450,15,15,1351,0,0
1539474910755,3369,Visualizar-Processos,200,OK,Thread Group-Testes 1-5,text,true,,419208,295,15,15,3367,0,1
